,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
0,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,"Amaravati, Andhra Pradesh, India","Amaravati, Thullur, Guntur, Andhra Pradesh, India",16.5096679,80.5184535,192.6634085661876,928.2927225689394,8084.438723830129
1,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,"Rajamahendravaram, Andhra Pradesh, India","Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533100, India",17.0050454,81.7804732,11.374129044550443,708.0604363625781,2340.65195677754
2,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,"Tirupati, Andhra Pradesh, India","Tirupati, Tirupati (Urban), Tirupati, Andhra Pradesh, 517500, India",13.6316368,79.4231711,2.59824333322937,331.09934817820584,6312.377727936944
3,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,"Vijayawada, Andhra Pradesh, India","Vijayawada, NTR, Andhra Pradesh, 520001, India",16.5115306,80.6160469,28.619921868911057,24.933751791179574,259.9024868375019
4,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh, India","Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India",17.6935526,83.2921297,10.236433390970582,156.2893490606283,132.03045595998162
5,"Railway Colony, Guwahati - APCB",Guwahati,Assam,"Guwahati, Assam, India","Guwahati, Kamrup Metropolitan, Assam, 781015, India",26.1805978,91.753943,8.610074756154257,569.920277823499,2194.6576625039274
6,"Collectorate, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833,460.43610484587975,885.725584675477,2511.4533087956374
7,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833,460.43610484587975,885.725584675477,2511.4533087956374
8,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,"Hajipur, Bihar, India","Hajipur, Vaishali, Bihar, 844101, India",25.6905702,85.2090351,30.813710102186665,237.44484431201624,2437.809325372405
9,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,"Muzaffarpur, Bihar, India","Muzaffarpur, Bihar, India",26.1482548,85.3316097,43.07456462254194,2075.1533040150525,1516.5852243487536
