StationId,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,"Amaravati, Andhra Pradesh, India","Amaravati, Thullur, Guntur, Andhra Pradesh, India",16.5096679,80.5184535,192.6634086,928.2927226,8084.438724
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,"Rajamahendravaram, Andhra Pradesh, India","Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533100, India",17.0050454,81.7804732,11.37412904,708.0604364,2340.651957
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,"Tirupati, Andhra Pradesh, India","Tirupati, Tirupati (Urban), Tirupati, Andhra Pradesh, 517500, India",13.6316368,79.4231711,2.598243333,331.0993482,6312.377728
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,"Vijayawada, Andhra Pradesh, India","Vijayawada, NTR, Andhra Pradesh, 520001, India",16.5115306,80.6160469,28.61992187,24.93375179,259.9024868
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh, India","Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India",17.6935526,83.2921297,10.23643339,156.2893491,132.030456
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,"Guwahati, Assam, India","Guwahati, Kamrup Metropolitan, Assam, 781015, India",26.1805978,91.753943,8.610074756,569.9202778,2194.657663
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833,460.4361048,885.7255847,2511.453309
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833,460.4361048,885.7255847,2511.453309
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,"Hajipur, Bihar, India","Hajipur, Vaishali, Bihar, 844101, India",25.6905702,85.2090351,30.8137101,237.4448443,2437.809325
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,"Muzaffarpur, Bihar, India","Muzaffarpur, Bihar, India",26.1482548,85.3316097,43.07456462,2075.153304,1516.585224
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252,36.17227953,585.6405886,1713.134402
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,"Chandigarh, Chandigarh, India","Chandigarh, India",30.7334421,76.7797143,36.21857975,1477.518953,760.6934112
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923884,618.4308839,1885.161044
