StationName,City,State,FullAddress,location,latitude,longitude
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,"Amaravati, Andhra Pradesh, India","Amaravati, Thullur, Guntur, Andhra Pradesh, India",16.5096679,80.5184535
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,"Rajamahendravaram, Andhra Pradesh, India","Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533100, India",17.0050454,81.7804732
"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,"Tirupati, Andhra Pradesh, India","Tirupati, Tirupati (Urban), Tirupati, Andhra Pradesh, 517500, India",13.6316368,79.4231711
"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,"Vijayawada, Andhra Pradesh, India","Vijayawada, NTR, Andhra Pradesh, 520001, India",16.5115306,80.6160469
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,"Visakhapatnam, Andhra Pradesh, India","Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India",17.6935526,83.2921297
"Railway Colony, Guwahati - APCB",Guwahati,Assam,"Guwahati, Assam, India","Guwahati, Kamrup Metropolitan, Assam, 781015, India",26.1805978,91.753943
"Collectorate, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,"Gaya, Bihar, India","Gaya, Bihar, India",24.6793889,85.0115833
"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,"Hajipur, Bihar, India","Hajipur, Vaishali, Bihar, 844101, India",25.6905702,85.2090351
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,"Muzaffarpur, Bihar, India","Muzaffarpur, Bihar, India",26.1482548,85.3316097
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,"Patna, Bihar, India","Patna, Patna Rural, Patna, Bihar, 800001, India",25.6093239,85.1235252
